Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity
04/06/2020,430,22,6,47,62,65,88,78,48,36,0,207,220,3,77,15,180,80,14,64,0,0,0,2,5,1,8,6,0,9,13,0,3,0,16,3,0,0
01/23/2020,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/29/2020,1046,39,43,186,195,207,193,125,41,56,0,514,494,38,450,15,143,85,43,310,0,1,1,3,4,5,8,17,0,17,22,0,15,2,13,9,0,0
03/17/2020,52,1,1,8,8,14,9,7,2,3,0,19,32,1,7,5,15,23,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
03/09/2020,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/28/2020,318,4,2,49,48,61,67,42,30,19,0,145,172,1,55,10,168,51,12,22,0,0,0,0,2,0,1,1,0,1,3,0,1,0,2,0,1,0
03/06/2020,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/12/2020,448,32,26,69,84,72,72,56,35,34,0,224,208,16,103,15,114,62,17,137,0,0,1,2,3,10,6,10,0,15,17,0,4,1,19,8,0,0
05/06/2020,956,42,53,191,177,183,157,103,47,44,1,464,448,44,363,15,118,72,31,357,0,0,1,2,6,9,10,14,0,14,28,0,11,3,13,12,1,2
03/08/2020,3,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/10/2020,4,0,0,0,0,3,0,0,0,1,0,0,4,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/15/2020,613,32,22,89,103,95,128,81,43,52,0,308,299,6,178,26,188,77,30,114,0,1,1,3,2,5,6,14,0,9,23,0,9,3,15,5,0,0
03/31/2020,379,16,5,45,74,65,74,55,37,24,0,181,195,3,68,11,183,76,9,32,0,0,0,4,1,0,5,6,0,6,10,0,2,0,14,0,0,0
03/16/2020,34,1,0,5,6,9,7,5,1,1,0,21,13,0,2,1,14,17,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
03/23/2020,173,2,5,24,40,32,25,22,21,4,0,88,85,0,23,10,80,48,5,7,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0
05/08/2020,877,36,54,162,180,183,130,93,34,40,1,425,399,53,356,5,98,69,57,292,0,0,0,0,4,10,11,11,0,17,19,0,10,0,15,11,0,0
04/23/2020,1009,33,30,162,159,165,157,147,90,96,3,459,461,89,334,12,189,82,26,366,0,1,1,4,2,8,7,10,0,7,26,0,12,2,14,5,0,0
03/11/2020,5,0,1,0,1,1,1,0,1,0,0,1,4,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/14/2020,14,0,0,2,5,2,3,1,1,0,0,1,13,0,1,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/05/2020,388,26,2,43,59,70,79,63,41,31,0,175,207,6,107,14,158,50,13,46,0,0,0,2,5,2,10,7,0,8,18,0,4,0,18,4,0,0
05/04/2020,826,45,38,154,151,142,137,97,52,54,1,412,395,19,281,10,121,77,28,309,0,1,0,0,4,8,14,18,0,22,23,0,16,2,17,9,0,1
03/12/2020,13,0,1,3,4,1,1,0,2,1,0,8,5,0,2,1,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/13/2020,11,0,2,2,2,2,2,1,0,0,0,6,5,0,3,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/18/2020,95,1,0,18,25,23,7,15,3,4,0,46,49,0,10,2,45,33,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
04/11/2020,710,33,23,95,114,131,160,101,53,32,1,300,405,5,171,33,239,102,20,145,0,0,1,1,6,8,10,7,0,16,17,0,8,1,21,3,0,0
04/24/2020,1064,50,28,154,158,197,174,159,85,108,1,549,469,46,369,20,201,88,29,357,0,1,2,0,5,13,12,17,0,18,32,0,13,2,20,13,2,0
04/03/2020,456,24,3,76,66,93,95,55,39,29,0,239,215,2,118,13,210,65,14,36,0,0,1,2,2,4,6,9,0,12,12,0,3,0,19,2,0,0
03/29/2020,274,21,2,33,57,45,40,40,40,16,1,133,141,0,49,5,153,49,5,13,0,1,0,1,4,4,6,5,0,4,17,0,2,2,15,2,0,0
04/19/2020,511,33,13,78,82,75,80,85,45,53,0,228,279,4,167,20,163,44,14,103,0,0,0,2,7,8,4,12,0,11,22,0,12,4,12,4,1,0
05/09/2020,626,40,35,109,124,108,118,72,37,23,0,314,296,16,222,5,105,48,19,227,0,0,0,1,6,6,10,17,0,18,22,0,18,2,10,9,1,0
04/14/2020,634,33,11,82,109,112,136,79,57,48,0,312,316,6,192,16,199,94,20,113,0,1,2,1,3,5,8,13,0,10,23,0,9,1,12,10,0,1
05/02/2020,800,46,39,145,161,153,132,93,52,24,1,387,397,16,262,17,104,63,31,323,0,0,0,1,9,13,9,14,0,18,28,0,10,3,22,10,1,0
05/01/2020,1034,32,50,202,170,182,184,130,60,55,1,491,516,27,383,12,129,75,41,394,0,1,0,1,4,8,6,12,0,13,19,0,10,1,14,5,0,2
04/28/2020,846,50,31,176,140,151,144,96,54,53,1,422,405,19,303,17,146,88,53,239,0,0,0,3,4,9,8,26,0,20,30,0,10,5,21,11,0,3
04/07/2020,580,25,2,80,99,91,102,99,58,49,0,321,257,2,111,21,252,93,25,78,0,0,0,1,5,4,10,5,0,11,14,0,6,0,16,1,2,0
04/13/2020,405,31,11,46,68,64,98,54,36,28,0,206,198,1,113,12,146,53,20,61,0,0,1,5,3,8,6,8,0,14,17,0,11,1,16,3,0,0
03/19/2020,124,2,3,21,29,19,22,21,7,2,0,58,66,0,11,4,58,47,1,3,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0
05/10/2020,562,29,33,112,108,123,88,50,25,23,0,262,281,19,185,6,70,40,30,231,0,0,1,2,1,8,8,9,0,11,18,0,5,1,12,9,2,0
03/26/2020,319,2,4,41,64,65,64,41,31,9,0,154,164,1,45,8,149,81,8,28,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0
05/03/2020,921,40,33,182,142,175,165,106,66,51,1,442,446,33,365,7,111,71,16,351,0,0,0,2,4,11,12,11,0,19,21,0,17,0,13,9,1,0
03/30/2020,381,12,3,50,57,81,77,54,33,26,0,186,193,2,65,12,200,60,18,26,0,0,1,1,2,2,5,1,0,4,8,0,2,1,6,1,0,2
04/30/2020,1307,34,71,243,254,263,200,134,71,70,1,600,673,34,461,11,164,118,79,474,0,0,2,0,3,6,11,12,0,16,18,0,10,0,17,6,0,1
04/09/2020,768,26,6,102,112,141,163,126,69,49,0,353,374,41,187,18,290,112,25,136,0,0,0,0,3,7,5,11,0,13,13,0,5,1,15,5,0,0
04/08/2020,526,34,5,64,110,80,95,85,49,38,0,227,277,22,118,22,205,68,23,90,0,0,0,1,5,8,9,11,0,13,21,0,2,2,20,10,0,0
03/25/2020,235,5,1,34,45,38,45,31,28,13,0,99,136,0,27,7,123,57,8,13,0,0,1,0,1,1,0,2,0,3,2,0,1,0,3,1,0,0
04/02/2020,413,14,3,53,70,73,84,61,37,32,0,214,186,13,87,15,192,77,9,33,0,0,0,1,2,1,6,4,0,5,9,0,2,2,8,2,0,0
04/16/2020,638,30,12,108,111,127,121,77,47,35,0,308,328,2,227,14,169,64,36,128,0,0,0,2,2,6,8,12,0,13,17,0,5,3,15,7,0,0
04/26/2020,774,46,21,117,108,130,145,101,77,74,1,375,383,16,218,22,118,89,28,299,0,1,0,4,3,13,10,15,0,21,25,0,19,2,19,6,0,0
04/25/2020,803,37,34,148,146,136,155,106,42,35,1,381,401,21,290,10,132,101,39,231,0,0,2,1,6,6,11,11,0,13,24,0,11,2,17,6,0,1
04/17/2020,695,38,5,133,107,136,119,97,51,47,0,318,369,8,238,22,190,77,16,152,0,0,0,2,3,6,13,14,0,11,27,0,10,2,14,11,0,1
04/21/2020,823,32,22,139,159,149,148,95,66,45,0,416,395,12,317,17,189,93,33,174,0,1,0,2,0,7,9,13,0,12,20,0,11,2,15,4,0,0
04/10/2020,757,30,11,100,138,152,159,104,51,42,0,348,392,17,225,20,222,91,23,176,0,0,1,2,3,3,9,12,0,10,20,0,3,2,22,3,0,0
05/05/2020,982,53,40,164,173,196,169,121,52,66,1,509,447,26,361,18,145,97,38,323,0,1,1,1,0,11,16,23,0,24,29,0,15,3,20,14,1,0
04/20/2020,609,35,12,99,99,120,104,84,46,44,1,283,321,5,205,17,164,87,19,117,0,0,1,1,3,4,9,17,0,12,23,0,10,2,12,9,1,1
03/24/2020,218,2,2,28,40,37,45,33,20,13,0,102,116,0,21,12,98,72,8,7,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0
05/11/2020,695,25,31,139,140,139,105,84,32,24,1,350,331,14,327,9,95,54,28,182,0,0,0,0,4,1,5,15,0,14,11,0,6,0,11,7,1,0
05/12/2020,757,35,58,127,148,150,105,84,51,31,3,389,340,28,297,5,93,63,28,271,0,0,2,2,3,8,6,14,0,10,24,1,10,2,14,8,0,1
04/27/2020,781,31,28,140,123,157,117,104,46,65,1,368,350,63,227,15,132,68,22,317,0,0,0,1,4,4,12,10,0,11,20,0,8,1,14,7,1,0
03/20/2020,143,0,3,27,32,23,27,17,10,4,0,67,74,2,13,9,60,46,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,46,0,0,5,18,9,10,2,2,0,0,22,20,4,5,0,2,20,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/27/2020,292,8,2,39,42,53,81,35,27,13,0,143,148,1,43,13,143,64,11,18,0,0,0,1,1,3,3,0,0,3,5,0,2,0,4,2,0,0
04/22/2020,873,45,13,169,157,162,177,113,44,38,0,431,429,13,341,15,173,102,40,202,0,0,3,2,6,14,8,12,0,20,25,0,9,0,26,9,1,0
03/15/2020,25,0,0,5,2,8,3,4,3,0,0,11,13,1,2,2,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/01/2020,424,24,4,72,90,72,76,61,25,24,0,216,193,15,91,18,193,76,12,34,0,0,1,1,1,7,6,8,0,12,12,0,3,1,19,0,0,1
04/18/2020,578,38,16,84,100,105,112,91,46,24,0,297,280,1,198,9,155,78,33,105,0,0,0,3,5,8,12,10,0,19,19,0,12,5,19,2,0,0
03/21/2020,111,2,1,16,15,25,21,15,14,4,0,49,62,0,12,5,59,28,1,6,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0
05/07/2020,1082,44,64,198,196,235,192,109,48,38,2,501,527,54,468,5,110,80,30,389,0,0,1,2,6,14,8,13,0,18,26,0,14,2,18,8,1,1
04/04/2020,408,21,4,50,55,72,85,70,47,25,0,212,194,2,90,18,184,64,12,40,0,0,0,3,4,4,4,6,0,13,8,0,3,0,13,4,1,0
03/22/2020,116,2,2,15,18,27,21,16,14,3,0,56,60,0,20,4,60,26,2,4,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0
